TITLE     = "fluent14.5.0  build-id: 10329"
VARIABLES = "X"
"Y"
"Z"
"Temperature"
DATASETAUXDATA Common.DensityVar="48"
DATASETAUXDATA Common.PressureVar="50"
DATASETAUXDATA Common.TemperatureVar="4"
DATASETAUXDATA Common.UVar="51"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="62"
DATASETAUXDATA Common.VVar="53"
DATASETAUXDATA Common.WVar="55"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=145, J=110, K=3, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -7.249999791E-002 -5.499999970E-002 -1.500000013E-003 3.045759888E+002
 -7.149305195E-002 -5.499999970E-002 -1.500000013E-003 3.045819092E+002
 -7.048611343E-002 -5.499999970E-002 -1.500000013E-003 3.046643372E+002
 -6.947916746E-002 -5.499999970E-002 -1.500000013E-003 3.050921326E+002
 -6.847222149E-002 -5.499999970E-002 -1.500000013E-003 3.062753296E+002
 -6.746527553E-002 -5.499999970E-002 -1.500000013E-003 3.078039246E+002
 -6.645833701E-002 -5.499999970E-002 -1.500000013E-003 3.086500244E+002
 -6.545139104E-002 -5.499999970E-002 -1.500000013E-003 3.088827820E+002
 -6.444444507E-002 -5.499999970E-002 -1.500000013E-003 3.089144592E+002
 -6.343749911E-002 -5.499999970E-002 -1.500000013E-003 3.089156799E+002
 -6.243055686E-002 -5.499999970E-002 -1.500000013E-003 3.089846497E+002
 -6.142361090E-002 -5.499999970E-002 -1.500000013E-003 3.096555176E+002
 -6.041666493E-002 -5.499999970E-002 -1.500000013E-003 3.122207947E+002
 -5.940972269E-002 -5.499999970E-002 -1.500000013E-003 3.155119629E+002
 -5.840277672E-002 -5.499999970E-002 -1.500000013E-003 3.167890320E+002
 -5.739583448E-002 -5.499999970E-002 -1.500000013E-003 3.169819946E+002
 -5.638888851E-002 -5.499999970E-002 -1.500000013E-003 3.169883728E+002
 -5.538194627E-002 -5.499999970E-002 -1.500000013E-003 3.170565491E+002
 -5.437500030E-002 -5.499999970E-002 -1.500000013E-003 3.179706726E+002
 -5.336805433E-002 -5.499999970E-002 -1.500000013E-003 3.212592163E+002
 -5.236111209E-002 -5.499999970E-002 -1.500000013E-003 3.235239258E+002
 -5.135416612E-002 -5.499999970E-002 -1.500000013E-003 3.238676453E+002
 -5.034722388E-002 -5.499999970E-002 -1.500000013E-003 3.238775024E+002
 -4.934027791E-002 -5.499999970E-002 -1.500000013E-003 3.240033264E+002
 -4.833333194E-002 -5.499999970E-002 -1.500000013E-003 3.257447815E+002
 -4.732638970E-002 -5.499999970E-002 -1.500000013E-003 3.289939270E+002
 -4.631944373E-002 -5.499999970E-002 -1.500000013E-003 3.296302490E+002
 -4.531250149E-002 -5.499999970E-002 -1.500000013E-003 3.296460876E+002
 -4.430555552E-002 -5.499999970E-002 -1.500000013E-003 3.298848267E+002
 -4.329860955E-002 -5.499999970E-002 -1.500000013E-003 3.326244507E+002
 -4.229166731E-002 -5.499999970E-002 -1.500000013E-003 3.343299561E+002
 -4.128472134E-002 -5.499999970E-002 -1.500000013E-003 3.343887939E+002
 -4.027777910E-002 -5.499999970E-002 -1.500000013E-003 3.346285400E+002
 -3.927083313E-002 -5.499999970E-002 -1.500000013E-003 3.374762268E+002
 -3.826388717E-002 -5.499999970E-002 -1.500000013E-003 3.382330627E+002
 -3.725694492E-002 -5.499999970E-002 -1.500000013E-003 3.382716675E+002
 -3.624999896E-002 -5.499999970E-002 -1.500000013E-003 3.403757324E+002
 -3.524305671E-002 -5.499999970E-002 -1.500000013E-003 3.413134460E+002
 -3.423611075E-002 -5.499999970E-002 -1.500000013E-003 3.414482422E+002
 -3.322916850E-002 -5.499999970E-002 -1.500000013E-003 3.436694336E+002
 -3.222222254E-002 -5.499999970E-002 -1.500000013E-003 3.437708130E+002
 -3.121527843E-002 -5.499999970E-002 -1.500000013E-003 3.455195618E+002
 -3.020833246E-002 -5.499999970E-002 -1.500000013E-003 3.457132568E+002
 -2.920138836E-002 -5.499999970E-002 -1.500000013E-003 3.472154846E+002
 -2.819444425E-002 -5.499999970E-002 -1.500000013E-003 3.476991882E+002
 -2.718750015E-002 -5.499999970E-002 -1.500000013E-003 3.484603882E+002
 -2.618055604E-002 -5.499999970E-002 -1.500000013E-003 3.494043884E+002
 -2.517361194E-002 -5.499999970E-002 -1.500000013E-003 3.501725464E+002
 -2.416666597E-002 -5.499999970E-002 -1.500000013E-003 3.510004578E+002
 -2.315972187E-002 -5.499999970E-002 -1.500000013E-003 3.516693726E+002
 -2.215277776E-002 -5.499999970E-002 -1.500000013E-003 3.524487305E+002
 -2.114583366E-002 -5.499999970E-002 -1.500000013E-003 3.529841309E+002
 -2.013888955E-002 -5.499999970E-002 -1.500000013E-003 3.536472473E+002
 -1.913194358E-002 -5.499999970E-002 -1.500000013E-003 3.542038879E+002
 -1.812499948E-002 -5.499999970E-002 -1.500000013E-003 3.546614990E+002
 -1.711805537E-002 -5.499999970E-002 -1.500000013E-003 3.550708923E+002
 -1.611111127E-002 -5.499999970E-002 -1.500000013E-003 3.554441833E+002
 -1.510416623E-002 -5.499999970E-002 -1.500000013E-003 3.558018494E+002
 -1.409722213E-002 -5.499999970E-002 -1.500000013E-003 3.561435547E+002
 -1.309027802E-002 -5.499999970E-002 -1.500000013E-003 3.563991699E+002
